"Series Key",EBA.SE-ALL.D.H,"Series Key",EBA.TVA-ALL.D.H
"Series Name","Demand for Southeast (region), hourly - UTC time","Series Name","Demand for Tennessee Valley Authority (TVA), hourly - UTC time"
Units,megawatthours,Units,megawatthours
Frequency,H,Frequency,H
"Start Date",20150701T06Z,"Start Date",20150701T06Z
"End Date",20211012T11Z,"End Date",20211012T11Z
Source,,Source,

20210923T02Z,27151,20210923T02Z,16802
20210923T01Z,28822,20210923T01Z,17420
20210923T00Z,29162,20210923T00Z,17301
20210922T23Z,30314,20210922T23Z,17701
20210922T22Z,31248,20210922T22Z,17942
20210922T21Z,31633,20210922T21Z,17954
20210922T20Z,31645,20210922T20Z,17814
20210922T19Z,31316,20210922T19Z,17739
20210922T18Z,30572,20210922T18Z,17600
20210922T17Z,29977,20210922T17Z,17375
20210922T16Z,29590,20210922T16Z,17172
20210922T15Z,28593,20210922T15Z,16892
20210922T14Z,27717,20210922T14Z,16624
20210922T13Z,27046,20210922T13Z,16494
20210922T12Z,26543,20210922T12Z,16291
20210922T11Z,25863,20210922T11Z,15304
20210922T10Z,24389,20210922T10Z,14534
20210922T09Z,24173,20210922T09Z,14378
20210922T08Z,24307,20210922T08Z,14658
20210922T07Z,24914,20210922T07Z,15126
20210922T06Z,25423,20210922T06Z,15676
20210922T05Z,25839,20210922T05Z,16521
20210922T04Z,27766,20210922T04Z,17793
20210922T03Z,30041,20210922T03Z,19242
20210922T02Z,32060,20210922T02Z,20587
20210922T01Z,33825,20210922T01Z,21482
20210922T00Z,34555,20210922T00Z,21690
20210921T23Z,35698,20210921T23Z,22267
20210921T22Z,36775,20210921T22Z,22683
20210921T21Z,37022,20210921T21Z,22691
20210921T20Z,36541,20210921T20Z,22445
20210921T19Z,35491,20210921T19Z,21701
20210921T18Z,34304,20210921T18Z,20962
20210921T17Z,32571,20210921T17Z,20298
20210921T16Z,30917,20210921T16Z,19474
20210921T15Z,29411,20210921T15Z,18764
20210921T14Z,28122,20210921T14Z,18132
20210921T13Z,27508,20210921T13Z,17513
20210921T12Z,26810,20210921T12Z,16992
20210921T11Z,25779,20210921T11Z,15833
20210921T10Z,24554,20210921T10Z,14776
20210921T09Z,23890,20210921T09Z,14524
20210921T08Z,24037,20210921T08Z,14625
20210921T07Z,24441,20210921T07Z,14889
20210921T06Z,24699,20210921T06Z,15473
20210921T05Z,25163,20210921T05Z,16222
20210921T04Z,26973,20210921T04Z,17362
20210921T03Z,28921,20210921T03Z,18591
20210921T02Z,30828,20210921T02Z,19646
20210921T01Z,32286,20210921T01Z,20333
20210921T00Z,32638,20210921T00Z,20353
20210920T23Z,32973,20210920T23Z,20664
20210920T22Z,33393,20210920T22Z,20842
20210920T21Z,33345,20210920T21Z,20967
20210920T20Z,33119,20210920T20Z,20947
20210920T19Z,32654,20210920T19Z,20892
20210920T18Z,32045,20210920T18Z,20570
20210920T17Z,31202,20210920T17Z,20026
20210920T16Z,30239,20210920T16Z,19658
20210920T15Z,29315,20210920T15Z,18997
20210920T14Z,28178,20210920T14Z,18355
20210920T13Z,27414,20210920T13Z,17801
20210920T12Z,26743,20210920T12Z,17348
20210920T11Z,25718,20210920T11Z,16094
20210920T10Z,24689,20210920T10Z,15016
20210920T09Z,23643,20210920T09Z,14585
20210920T08Z,23501,20210920T08Z,14514
20210920T07Z,23895,20210920T07Z,14766
20210920T06Z,24254,20210920T06Z,15182
20210920T05Z,24863,20210920T05Z,15992
20210920T04Z,26012,20210920T04Z,16981
20210920T03Z,27879,20210920T03Z,17998
20210920T02Z,29556,20210920T02Z,18904
20210920T01Z,30700,20210920T01Z,19410
20210920T00Z,30727,20210920T00Z,19355
20210919T23Z,30953,20210919T23Z,19609
20210919T22Z,31318,20210919T22Z,19570
20210919T21Z,31391,20210919T21Z,19392
20210919T20Z,31140,20210919T20Z,19230
20210919T19Z,30778,20210919T19Z,18921
20210919T18Z,30065,20210919T18Z,18428
20210919T17Z,29056,20210919T17Z,17839
20210919T16Z,27635,20210919T16Z,17362
20210919T15Z,26376,20210919T15Z,16639
20210919T14Z,24813,20210919T14Z,15791
20210919T13Z,23298,20210919T13Z,14830
20210919T12Z,22710,20210919T12Z,14259
20210919T11Z,22766,20210919T11Z,13932
20210919T10Z,22817,20210919T10Z,13697
20210919T09Z,22886,20210919T09Z,13745
20210919T08Z,23201,20210919T08Z,13918
20210919T07Z,23393,20210919T07Z,14286
20210919T06Z,23910,20210919T06Z,14796
20210919T05Z,24727,20210919T05Z,15601
20210919T04Z,26270,20210919T04Z,16436
20210919T03Z,27722,20210919T03Z,17343
20210919T02Z,29201,20210919T02Z,18232
20210919T01Z,30376,20210919T01Z,18835
20210919T00Z,30779,20210919T00Z,18906
20210918T23Z,31459,20210918T23Z,19264
20210918T22Z,32148,20210918T22Z,19515
20210918T21Z,32511,20210918T21Z,19681
20210918T20Z,32873,20210918T20Z,19724
20210918T19Z,32767,20210918T19Z,19700
20210918T18Z,32330,20210918T18Z,19548
20210918T17Z,31179,20210918T17Z,19089
20210918T16Z,29672,20210918T16Z,18535
20210918T15Z,27750,20210918T15Z,17745
20210918T14Z,25724,20210918T14Z,16831
20210918T13Z,23992,20210918T13Z,15811
20210918T12Z,23339,20210918T12Z,15263
20210918T11Z,23272,20210918T11Z,14798
20210918T10Z,23154,20210918T10Z,14453
20210918T09Z,23110,20210918T09Z,14573
20210918T08Z,23492,20210918T08Z,14802
20210918T07Z,23715,20210918T07Z,15180
20210918T06Z,24040,20210918T06Z,15845
20210918T05Z,25192,20210918T05Z,16779
20210918T04Z,26819,20210918T04Z,17918
20210918T03Z,28370,20210918T03Z,18992
20210918T02Z,29923,20210918T02Z,19969
20210918T01Z,31142,20210918T01Z,20644
20210918T00Z,31597,20210918T00Z,20886
20210917T23Z,32154,20210917T23Z,21402
20210917T22Z,32741,20210917T22Z,21854
20210917T21Z,32921,20210917T21Z,21839
